Wavenumber	B4C	Si	SiB6	SiC
1820.304688	0.106264	0.57026	0.332554	524130.0938
1817.830078	0.105286	0.569619	0.329742	522173.6875
1815.355469	0.105226	0.570989	0.324883	521630.1875
1812.878906	0.102875	0.568594	0.328875	520073.3125
1810.402344	0.101013	0.568593	0.319052	518663.625
1807.923828	0.0984	0.570896	0.31236	516210.4063
1805.445313	0.098057	0.575267	0.307226	514084.3438
1802.966797	0.093937	0.58167	0.306283	514923.1875
1800.486328	0.090255	0.581575	0.316043	511766.3438
1798.005859	0.089071	0.580062	0.319188	510597.6875
1795.523438	0.09145	0.582326	0.319664	508677.0625
1793.042969	0.093186	0.575195	0.322274	507068.7188
1790.558594	0.096501	0.568125	0.325931	505676.7188
1788.076172	0.096128	0.570287	0.330778	504184.8125
1785.591797	0.093732	0.57071	0.3323	503806.7188
1783.105469	0.090873	0.564447	0.334141	502266.8125
1780.621094	0.086526	0.561843	0.328391	500784.0938
1778.132813	0.085075	0.556495	0.328042	500043.1563
1775.646484	0.087995	0.561705	0.314963	498512.5938
1773.158203	0.089442	0.562991	0.31779	495995.125
1770.669922	0.087092	0.566239	0.333104	495345.4688
1768.179688	0.085715	0.567591	0.341726	494205.0625
1765.689453	0.08558	0.562055	0.345667	493389.5
1763.199219	0.082401	0.553196	0.344285	490859.25
1760.707031	0.081305	0.555257	0.334742	489700.9063
1758.214844	0.080379	0.556183	0.330779	488764.8438
1755.720703	0.077869	0.566099	0.316487	488711.6563
1753.226563	0.075889	0.580359	0.318747	488555.1563
1750.732422	0.072416	0.591024	0.329779	485721.0938
1748.236328	0.071031	0.595571	0.331592	485731.75
1745.740234	0.071555	0.59611	0.329023	484259.125
1743.244141	0.07025	0.590872	0.318354	483528.1563
1740.746094	0.072849	0.582201	0.31544	480453.5
1738.246094	0.075372	0.577071	0.307709	479821.0313
1735.748047	0.076554	0.574999	0.309927	478049.5625
1733.248047	0.080503	0.576326	0.325566	477836.0313
1730.746094	0.083741	0.57937	0.343188	475961.0938
1728.246094	0.081742	0.586242	0.356883	474981.6563
1725.742188	0.082938	0.591927	0.363488	473718
1723.240234	0.08448	0.595637	0.346228	473817.3438
1720.736328	0.083845	0.598553	0.337876	472104.3438
1718.232422	0.081375	0.601142	0.315588	470567.9688
1715.726563	0.076558	0.598678	0.310597	470078.2188
1713.220703	0.07466	0.595878	0.316692	469041
